Age,Gender,HSC_P,SSC_P,Stream,Internships,CGPA,HistoryOfBacklogs,Placed
21,Male,71,85,Computer Science,2,7,0,1
21,Male,80,66,Information Technology,2,8,0,1
21,Male,70,83,Computer Science,2,7,0,1
22,Female,93,75,Information Technology,1,7,0,1
22,Male,76,82,Computer Science,2,7,0,1
21,Male,75,68,Electrical,1,8,0,1
21,Male,72,78,Information Technology,2,7,1,0
22,Male,75,80,Computer Science,1,8,1,1
21,Male,86,72,Computer Science,1,7,0,0
21,Male,80,84,Civil,2,6,0,0
22,Male,81,94,Electrical,1,6,0,0
21,Male,91,83,Information Technology,1,8,1,1
21,Male,83,90,Electronics And Communication,1,7,0,0
21,Male,70,71,Electrical,1,7,1,1
21,Male,86,72,Electrical,2,8,0,1
22,Male,70,94,Electronics And Communication,1,8,0,1
22,Male,94,90,Mechanical,1,8,0,1
21,Male,84,92,Civil,2,8,1,1
22,Female,88,85,Computer Science,1,6,0,1
22,Male,77,83,Electrical,2,6,0,1
22,Male,96,88,Mechanical,2,7,0,0
22,Female,73,82,Electronics And Communication,1,7,0,0
22,Female,94,86,Electronics And Communication,2,8,0,1
22,Male,92,87,Electronics And Communication,1,8,0,1
21,Male,84,69,Mechanical,1,6,0,0
22,Male,90,66,Mechanical,2,6,0,1
22,Male,78,76,Civil,1,6,0,0
21,Male,85,77,Mechanical,1,8,0,1
21,Female,79,82,Information Technology,2,6,0,1
21,Male,91,76,Electronics And Communication,2,8,0,1
21,Male,96,90,Information Technology,2,8,1,1
22,Male,78,87,Computer Science,2,7,0,0
22,Male,88,94,Information Technology,1,8,0,1
22,Male,75,78,Electrical,2,8,0,1
22,Male,94,78,Electronics And Communication,2,8,0,1
21,Male,81,82,Computer Science,2,6,0,1
22,Male,95,74,Computer Science,1,7,0,1
21,Female,76,91,Mechanical,1,7,0,0
21,Male,90,89,Computer Science,2,6,0,1
22,Female,78,76,Computer Science,1,6,0,1
21,Male,75,78,Mechanical,1,6,1,0
22,Male,86,68,Electronics And Communication,1,7,1,0
21,Female,96,67,Computer Science,1,8,0,1
22,Male,86,78,Electrical,1,7,0,0
21,Male,82,90,Information Technology,2,6,0,1
21,Female,94,85,Information Technology,1,7,1,1
22,Female,75,79,Information Technology,1,6,0,1
21,Male,77,89,Mechanical,2,6,0,1
22,Male,85,68,Mechanical,1,6,0,0
21,Male,77,76,Electronics And Communication,1,7,0,1
22,Male,92,92,Information Technology,0,6,0,1
22,Male,77,75,Civil,1,8,0,1
21,Male,88,69,Electrical,0,7,0,0
22,Male,70,80,Electronics And Communication,1,7,0,0
22,Female,80,72,Information Technology,1,8,0,1
22,Female,87,68,Electrical,1,6,1,0
21,Male,91,78,Mechanical,0,7,0,0
22,Male,71,67,Electronics And Communication,0,7,0,0
22,Male,77,87,Information Technology,1,7,0,0
22,Male,92,88,Computer Science,0,7,1,0
21,Male,79,86,Electronics And Communication,1,8,1,1
22,Male,82,92,Computer Science,0,6,0,0
22,Male,93,67,Information Technology,0,7,0,0
21,Male,89,73,Electronics And Communication,1,6,0,0
22,Male,89,68,Mechanical,1,7,1,0
22,Male,94,76,Computer Science,2,7,0,0
22,Female,74,83,Electrical,1,7,1,0
21,Male,95,94,Civil,1,6,0,0
22,Male,90,77,Civil,0,6,0,0
22,Male,76,74,Electrical,0,7,0,0
21,Male,83,82,Computer Science,1,7,0,0
22,Female,96,82,Information Technology,0,6,0,0
21,Male,83,80,Electrical,0,8,0,1
21,Male,83,87,Mechanical,0,7,0,0
21,Male,78,94,Computer Science,1,6,0,0
22,Male,90,67,Computer Science,0,7,0,0
22,Female,70,69,Civil,1,8,0,1
22,Female,83,88,Information Technology,1,7,0,0
21,Female,85,80,Information Technology,2,8,1,1
21,Male,80,74,Computer Science,1,8,0,1
22,Male,79,79,Information Technology,0,8,0,1
21,Female,84,75,Electronics And Communication,0,6,0,0
22,Male,81,73,Civil,2,6,0,1
21,Male,93,91,Electronics And Communication,2,8,0,1
21,Male,70,67,Mechanical,0,7,0,0
21,Male,75,93,Electrical,0,7,0,0
22,Male,95,66,Mechanical,0,8,0,1
21,Male,96,94,Civil,0,6,0,0
22,Male,76,94,Information Technology,0,8,0,1
21,Male,77,84,Computer Science,1,7,0,0
22,Male,85,70,Computer Science,1,8,0,1
21,Male,81,69,Information Technology,2,8,0,1
22,Male,93,89,Information Technology,1,7,0,0
22,Female,70,83,Civil,1,6,0,0
21,Male,72,69,Computer Science,0,8,0,1
21,Male,79,89,Computer Science,0,8,1,1
21,Male,87,81,Mechanical,2,6,0,1
21,Male,89,79,Electrical,1,8,0,1
25,Male,89,81,Computer Science,0,7,0,0
26,Male,85,92,Electronics And Communication,2,6,0,1
24,Female,93,76,Electrical,1,8,1,1
25,Male,84,85,Computer Science,2,6,0,1
24,Female,90,67,Electronics And Communication,0,6,0,1
25,Male,92,86,Computer Science,1,8,0,1
23,Male,70,90,Electronics And Communication,0,9,0,1
24,Male,83,66,Electrical,1,7,0,1
25,Male,91,91,Civil,0,9,0,1
25,Male,79,84,Computer Science,1,8,0,1
26,Female,72,70,Information Technology,1,6,0,1
26,Male,92,85,Information Technology,1,6,0,1
25,Male,71,83,Electrical,0,8,0,1
26,Male,74,74,Information Technology,0,8,0,1
24,Male,89,66,Information Technology,0,8,0,1
25,Male,78,68,Computer Science,1,8,0,1
23,Male,72,85,Computer Science,1,6,0,1
23,Male,91,79,Civil,0,7,0,0
24,Male,81,73,Electronics And Communication,1,9,0,1
25,Male,73,67,Computer Science,0,8,0,1
24,Male,73,86,Computer Science,0,7,1,1
24,Male,88,93,Mechanical,2,8,0,1
23,Male,76,80,Mechanical,1,8,0,1
26,Male,78,77,Information Technology,1,8,0,1
23,Female,81,79,Civil,1,7,1,0
26,Male,90,89,Computer Science,1,9,0,1
26,Male,79,90,Electrical,2,8,0,1
26,Male,75,67,Electrical,0,9,1,1
26,Male,79,73,Civil,0,6,0,1
24,Male,82,79,Mechanical,0,9,1,1
24,Male,71,93,Computer Science,1,7,0,1
23,Male,79,66,Electrical,0,8,0,1
26,Female,75,76,Mechanical,1,7,0,0
23,Male,85,81,Information Technology,1,7,0,0
24,Male,90,89,Mechanical,0,8,0,1
26,Male,75,70,Civil,0,9,0,1
25,Male,92,67,Electrical,0,7,0,0
23,Male,79,72,Mechanical,0,9,1,1
24,Female,82,79,Computer Science,1,8,0,1
23,Male,81,88,Information Technology,1,8,0,1
23,Male,91,86,Mechanical,0,7,0,0
26,Male,93,76,Computer Science,3,7,0,1
24,Male,73,66,Information Technology,1,6,0,1
26,Male,88,89,Electrical,1,8,0,1
23,Male,80,86,Computer Science,1,6,0,1
23,Male,75,75,Civil,1,7,0,0
26,Male,81,93,Information Technology,1,7,0,1
26,Male,95,86,Civil,0,7,0,0
24,Male,75,68,Computer Science,1,7,0,1
23,Male,70,93,Information Technology,0,8,0,1
26,Female,87,67,Information Technology,1,6,1,1
23,Male,93,66,Electronics And Communication,1,6,1,0
24,Male,86,66,Civil,0,7,0,0
24,Male,91,76,Computer Science,1,6,0,1
25,Male,81,89,Information Technology,1,6,0,1
25,Male,78,91,Computer Science,0,8,0,1
26,Male,78,87,Civil,0,8,0,1
24,Male,71,81,Mechanical,0,6,0,1
26,Female,79,70,Electrical,1,8,0,1
25,Male,83,87,Information Technology,1,8,0,1
22,Male,70,94,Computer Science,0,6,0,1
21,Male,92,80,Information Technology,0,6,0,1
22,Male,81,84,Electrical,1,6,0,0
22,Male,92,88,Information Technology,1,6,0,1
22,Female,76,78,Computer Science,1,6,0,1
22,Male,78,67,Electronics And Communication,1,8,0,1
21,Female,71,93,Computer Science,1,6,0,1
22,Male,90,85,Computer Science,1,6,0,0
21,Female,90,69,Information Technology,1,6,0,1
21,Male,70,88,Electrical,0,8,0,1
22,Male,77,69,Mechanical,0,7,0,0
22,Female,86,93,Computer Science,2,8,0,1
22,Male,82,80,Computer Science,1,8,0,1
22,Male,73,86,Computer Science,1,8,0,1
21,Male,96,87,Information Technology,0,7,0,1
21,Female,93,83,Electronics And Communication,0,6,0,0
21,Male,90,75,Electrical,1,6,0,0
22,Male,73,83,Computer Science,1,6,0,1
22,Male,84,68,Electrical,0,8,0,1
21,Male,71,90,Electrical,1,7,1,1
21,Female,92,72,Mechanical,1,7,0,0
22,Male,79,80,Electrical,0,7,0,0
21,Female,81,81,Information Technology,2,8,0,1
22,Male,86,67,Mechanical,0,8,0,1
21,Male,71,77,Computer Science,1,8,0,1
22,Male,86,88,Civil,0,6,1,0
21,Male,93,94,Information Technology,0,6,0,0
21,Female,88,81,Electronics And Communication,1,8,1,1
22,Female,75,81,Information Technology,1,8,0,1
22,Male,72,81,Mechanical,1,8,0,1
22,Male,88,76,Civil,0,8,0,1
22,Male,84,67,Civil,0,6,0,0
22,Male,76,92,Computer Science,1,8,0,1
22,Male,74,86,Electronics And Communication,1,8,0,1
22,Male,93,76,Computer Science,2,8,1,1
22,Female,89,71,Electrical,0,8,0,1
22,Male,80,94,Information Technology,1,7,0,1
22,Female,85,69,Computer Science,0,8,0,1
22,Male,86,71,Electrical,0,7,0,0
21,Male,84,87,Electronics And Communication,0,8,1,1
22,Female,86,92,Information Technology,0,7,0,1
21,Male,84,83,Computer Science,1,7,0,1
22,Male,95,73,Civil,1,6,0,0
21,Female,81,83,Information Technology,0,6,0,1
22,Male,93,87,Computer Science,1,8,0,1
21,Male,76,82,Mechanical,0,8,0,1
22,Male,91,82,Civil,0,6,0,0
22,Male,74,92,Computer Science,1,6,0,1
22,Male,74,73,Computer Science,1,7,0,1
21,Male,87,94,Civil,0,6,0,0
22,Male,94,66,Computer Science,1,8,0,1
21,Male,71,88,Civil,1,8,0,1
21,Male,83,79,Electronics And Communication,1,6,1,0
22,Female,71,82,Mechanical,1,8,0,1
22,Male,90,73,Information Technology,0,8,0,1
21,Male,92,70,Civil,0,6,0,0
22,Male,84,85,Electronics And Communication,1,6,0,0
21,Male,93,84,Mechanical,0,8,0,1
21,Female,76,81,Electrical,0,7,0,0
22,Male,93,87,Computer Science,0,6,0,1
22,Female,94,74,Information Technology,1,7,0,1
21,Male,93,75,Electronics And Communication,1,8,0,1
21,Male,81,74,Computer Science,2,8,0,1
22,Male,75,77,Civil,0,7,1,0
21,Male,81,86,Electronics And Communication,0,7,0,0
21,Male,87,80,Civil,0,8,0,1
21,Male,75,84,Mechanical,0,7,0,0
21,Female,92,68,Information Technology,0,7,0,1
21,Male,74,67,Electronics And Communication,2,6,0,1
21,Female,79,79,Information Technology,0,8,0,1
21,Male,87,84,Electronics And Communication,0,7,0,1
21,Male,70,70,Information Technology,1,8,0,1
22,Male,89,71,Electronics And Communication,3,7,0,0
21,Male,79,91,Mechanical,0,6,0,0
21,Male,81,66,Mechanical,0,6,0,0
21,Female,96,79,Mechanical,1,8,0,1
22,Male,81,83,Electrical,0,8,0,1
21,Male,76,86,Information Technology,0,6,0,1
22,Female,74,70,Information Technology,0,6,0,1
22,Male,88,67,Computer Science,1,6,0,0
21,Male,88,85,Information Technology,0,6,0,1
22,Male,91,85,Computer Science,1,7,0,1
22,Male,92,76,Mechanical,1,8,0,1
22,Male,86,80,Electrical,0,7,0,0
22,Male,84,76,Electronics And Communication,1,6,1,0
21,Male,80,80,Computer Science,0,7,0,1
22,Male,74,74,Electrical,1,6,0,0
21,Male,81,87,Electronics And Communication,0,6,0,0
22,Male,80,71,Information Technology,0,8,1,1
22,Male,96,72,Electronics And Communication,2,8,0,1
22,Male,73,80,Mechanical,1,7,0,0
22,Female,94,78,Information Technology,0,6,0,0
21,Male,90,94,Electrical,0,7,0,1
22,Male,93,94,Electronics And Communication,0,7,0,0
22,Male,76,70,Computer Science,1,7,0,1
21,Male,77,86,Computer Science,1,8,0,1
21,Male,71,84,Computer Science,2,7,0,1
22,Male,73,83,Information Technology,2,6,0,1
21,Male,91,86,Information Technology,1,6,0,1
22,Male,86,75,Civil,0,8,1,1
22,Male,90,85,Mechanical,1,7,0,0
21,Male,96,81,Computer Science,1,8,0,1
21,Male,74,87,Mechanical,0,8,0,1
21,Male,76,86,Electrical,2,7,1,1
21,Female,89,68,Computer Science,0,6,0,1
22,Male,92,94,Mechanical,1,6,0,0
22,Male,93,82,Civil,0,6,0,0
21,Male,82,67,Electronics And Communication,2,7,0,1
22,Female,90,68,Information Technology,0,8,0,1
22,Male,80,92,Electronics And Communication,0,6,0,0
22,Female,82,81,Information Technology,1,6,0,1
22,Male,79,85,Mechanical,1,7,0,0
22,Male,89,93,Mechanical,1,6,0,0
22,Male,91,78,Information Technology,0,8,0,1
22,Male,87,81,Information Technology,0,8,0,1
21,Male,85,71,Electrical,1,6,1,0
22,Male,80,93,Computer Science,1,7,0,1
21,Male,81,75,Computer Science,0,8,1,1
21,Male,85,71,Information Technology,2,6,0,1
21,Male,89,89,Electronics And Communication,1,8,1,1
22,Male,90,81,Information Technology,0,8,0,1
22,Female,82,81,Information Technology,0,8,0,1
22,Male,90,83,Computer Science,0,6,1,1
22,Male,85,72,Information Technology,1,8,0,1
21,Male,96,75,Computer Science,0,6,1,0
21,Male,94,73,Electrical,0,6,0,0
22,Male,72,72,Information Technology,1,8,1,1
22,Male,71,68,Mechanical,0,6,0,0
21,Male,89,94,Information Technology,1,8,0,1
22,Male,80,86,Electrical,1,7,0,0
22,Male,87,94,Electronics And Communication,0,8,0,1
21,Male,74,92,Information Technology,0,8,0,1
21,Female,96,94,Computer Science,1,7,0,1
22,Male,84,84,Information Technology,0,6,0,1
22,Male,75,66,Information Technology,0,7,0,1
22,Male,83,94,Civil,0,6,1,0
22,Male,80,70,Information Technology,1,7,0,0
21,Male,90,93,Electrical,1,8,0,1
21,Female,85,84,Information Technology,2,7,0,1
22,Male,79,88,Information Technology,3,8,0,1
22,Male,74,92,Mechanical,0,7,1,0
21,Female,82,66,Information Technology,1,6,0,0
22,Male,84,82,Mechanical,1,7,1,0
21,Male,93,94,Information Technology,1,6,0,0
21,Male,74,70,Mechanical,0,8,0,1
22,Male,94,67,Electrical,0,8,1,1
21,Male,73,67,Information Technology,1,8,0,1
21,Male,81,87,Computer Science,0,6,0,0
22,Male,70,72,Information Technology,0,7,0,0
21,Male,73,87,Mechanical,0,8,0,1
21,Male,77,92,Information Technology,0,7,0,0
21,Male,89,85,Electrical,0,6,0,0
21,Male,74,68,Electronics And Communication,1,7,1,0
21,Male,93,74,Civil,2,7,0,0
22,Female,89,79,Civil,1,8,0,1
22,Male,80,78,Information Technology,0,6,0,1
22,Female,93,86,Information Technology,1,6,0,1
22,Male,73,81,Civil,0,7,0,0
21,Male,80,93,Computer Science,0,8,1,1
22,Male,85,68,Information Technology,2,6,0,1
21,Male,78,89,Civil,0,6,0,0
21,Male,72,70,Civil,0,8,0,1
21,Male,91,90,Computer Science,0,7,0,1
21,Male,82,75,Civil,1,7,0,0
21,Male,88,86,Civil,1,6,0,0
21,Male,82,89,Information Technology,2,8,1,1
21,Female,92,86,Mechanical,1,6,0,0
22,Male,85,72,Information Technology,2,8,0,1
21,Female,87,76,Civil,1,8,1,1
22,Male,89,87,Information Technology,0,6,0,1
22,Male,96,81,Electronics And Communication,0,7,0,0
21,Male,85,90,Computer Science,1,8,0,1
22,Male,71,70,Information Technology,2,7,0,1
22,Male,74,92,Computer Science,1,7,0,1
22,Male,86,68,Information Technology,1,7,1,1
22,Male,72,94,Computer Science,1,7,0,1
22,Male,95,73,Mechanical,1,7,1,0
22,Female,76,87,Computer Science,1,7,0,0
22,Male,92,67,Mechanical,0,7,0,0
22,Male,70,86,Civil,0,8,0,1
22,Male,90,66,Information Technology,2,7,1,1
22,Male,95,83,Mechanical,0,7,0,0
22,Male,73,91,Computer Science,0,6,0,1
22,Male,87,86,Electronics And Communication,0,8,0,1
22,Male,92,76,Computer Science,1,8,0,1
22,Male,96,69,Computer Science,1,6,0,1
22,Male,77,73,Computer Science,2,7,0,1
21,Male,83,77,Computer Science,1,8,0,1
21,Male,96,77,Information Technology,0,7,1,1
22,Male,71,87,Computer Science,0,7,0,1
22,Female,76,88,Information Technology,0,8,0,1
22,Male,75,74,Information Technology,0,7,0,1
22,Male,79,85,Computer Science,0,8,0,1
21,Male,84,80,Civil,1,8,0,1
21,Male,79,66,Mechanical,0,7,0,0
21,Male,76,91,Information Technology,1,6,0,1
21,Male,75,79,Information Technology,1,8,0,1
21,Male,73,89,Mechanical,0,7,0,0
22,Male,70,83,Computer Science,1,7,0,1
21,Male,81,71,Computer Science,1,7,0,1
22,Male,87,94,Mechanical,1,8,0,1
22,Male,84,67,Information Technology,1,8,0,1
21,Male,92,77,Information Technology,0,6,1,1
21,Male,72,72,Information Technology,0,7,1,1
22,Male,96,83,Information Technology,2,8,0,1
22,Male,95,67,Electrical,0,8,1,1
22,Male,70,76,Mechanical,0,7,0,0
22,Female,77,71,Electronics And Communication,1,6,0,0
21,Male,84,82,Mechanical,0,8,0,1
21,Male,72,72,Electrical,0,7,0,0
22,Male,73,73,Electronics And Communication,1,6,0,0
21,Male,77,72,Civil,0,8,0,1
21,Male,77,69,Civil,0,8,0,1
22,Male,96,72,Computer Science,1,7,0,1
21,Male,77,79,Mechanical,1,6,0,0
21,Male,85,66,Information Technology,0,6,1,1
22,Female,75,68,Computer Science,0,8,0,1
21,Female,74,69,Computer Science,0,7,0,0
22,Male,73,78,Civil,0,8,0,1
22,Male,82,93,Computer Science,1,8,1,1
22,Male,84,79,Civil,0,6,1,0
22,Male,91,70,Mechanical,0,7,0,0
21,Male,86,85,Electronics And Communication,1,7,1,1
22,Male,78,91,Information Technology,0,8,0,1
22,Male,87,70,Computer Science,0,6,0,1
22,Male,70,89,Information Technology,1,8,0,1
21,Male,80,73,Electronics And Communication,1,7,0,0
22,Female,96,86,Computer Science,1,8,0,1
22,Female,90,81,Computer Science,2,7,0,1
22,Male,86,70,Electrical,0,6,0,0
22,Male,75,76,Mechanical,0,6,0,0
22,Male,80,85,Computer Science,2,7,0,1
22,Male,73,86,Mechanical,0,7,0,0
22,Male,81,73,Computer Science,1,7,0,1
21,Male,83,91,Information Technology,1,6,1,1
21,Male,79,69,Information Technology,1,6,1,1
22,Female,89,66,Information Technology,1,7,0,1
21,Male,83,74,Information Technology,2,8,1,1
21,Male,76,94,Civil,0,6,0,0
21,Male,83,94,Information Technology,0,6,0,1
22,Male,89,69,Information Technology,2,8,0,1
22,Male,79,82,Information Technology,1,8,0,1
21,Female,96,80,Computer Science,1,8,1,1
22,Male,90,93,Computer Science,1,7,0,1
22,Male,95,91,Electrical,2,6,0,1
21,Male,89,76,Civil,1,7,0,0
21,Male,80,93,Information Technology,2,7,1,1
22,Male,84,93,Information Technology,2,7,1,1
21,Male,75,67,Electronics And Communication,1,6,1,0
21,Male,86,87,Mechanical,1,8,1,1
22,Male,94,94,Information Technology,1,8,0,1
22,Male,92,74,Information Technology,2,6,1,1
21,Male,72,79,Computer Science,1,6,1,0
22,Male,96,83,Information Technology,2,7,0,1
22,Male,72,67,Information Technology,1,8,0,1
21,Male,95,78,Information Technology,2,7,1,1
21,Male,94,93,Electrical,2,8,0,1
22,Male,83,87,Civil,2,8,1,1
22,Male,71,73,Information Technology,2,6,0,1
22,Male,90,91,Information Technology,2,6,0,1
21,Female,75,89,Civil,2,7,0,0
22,Male,74,74,Electrical,1,7,1,0
22,Male,94,67,Civil,2,7,0,0
21,Male,82,83,Information Technology,2,8,0,1
21,Male,90,77,Civil,1,6,0,0
22,Female,85,70,Computer Science,2,6,0,1
21,Female,91,72,Electronics And Communication,1,7,0,1
22,Female,71,67,Information Technology,1,7,1,1
21,Male,92,92,Mechanical,2,6,0,1
22,Male,84,75,Mechanical,2,6,0,1
21,Male,70,70,Information Technology,2,7,0,1
22,Male,95,93,Computer Science,2,7,0,1
21,Male,82,94,Electrical,1,6,0,0
21,Female,75,77,Computer Science,1,6,0,1
22,Male,72,85,Civil,2,6,0,1
22,Male,94,85,Computer Science,1,7,0,1
21,Male,74,82,Information Technology,1,8,0,1
21,Male,71,82,Computer Science,2,7,0,1
22,Female,82,69,Mechanical,1,6,0,0
22,Female,72,84,Information Technology,1,8,0,1
22,Male,79,66,Mechanical,1,6,0,0
21,Male,70,93,Computer Science,1,8,1,1
21,Male,80,73,Computer Science,2,8,1,1
22,Male,89,69,Information Technology,2,8,0,1
22,Male,78,92,Mechanical,1,7,0,0
22,Male,73,93,Computer Science,2,7,0,0
21,Male,90,85,Computer Science,2,8,0,1
22,Male,90,66,Mechanical,1,7,0,0
21,Male,89,91,Computer Science,2,7,0,1
22,Male,92,93,Civil,1,6,0,0
22,Male,88,71,Civil,2,8,1,1
21,Male,93,68,Electrical,2,7,0,1
21,Female,90,68,Computer Science,1,6,1,0
22,Male,87,89,Computer Science,1,6,1,0
22,Male,96,77,Electrical,2,7,0,0
22,Female,92,91,Electronics And Communication,1,7,1,0
22,Male,80,73,Civil,1,7,0,0
21,Male,77,92,Electronics And Communication,2,6,0,1
21,Female,94,87,Electrical,2,8,0,1
22,Male,83,73,Computer Science,2,8,0,1
22,Female,92,67,Electronics And Communication,2,6,0,1
22,Male,83,92,Computer Science,1,7,0,0
21,Female,76,84,Electronics And Communication,1,8,1,1
22,Male,90,85,Electronics And Communication,1,7,0,0
21,Male,73,92,Mechanical,2,8,1,1
21,Male,83,67,Electronics And Communication,1,8,0,1
22,Female,81,85,Electrical,2,7,0,0
21,Male,78,68,Civil,2,7,0,0
22,Male,73,74,Information Technology,1,7,0,0
22,Female,88,79,Electrical,2,6,0,1
22,Male,73,91,Electronics And Communication,2,6,0,1
22,Male,71,91,Computer Science,1,6,0,0
21,Male,78,72,Computer Science,1,8,0,1
22,Male,70,84,Electronics And Communication,2,6,0,1
21,Male,71,88,Information Technology,1,7,0,0
21,Male,86,77,Information Technology,2,7,1,0
21,Female,90,77,Computer Science,2,7,1,0
21,Male,83,86,Computer Science,2,8,0,1
22,Male,91,78,Information Technology,1,7,0,0
21,Male,87,83,Civil,2,7,0,0
21,Female,90,93,Computer Science,2,8,0,1
22,Male,96,72,Mechanical,1,6,0,0
22,Male,89,87,Mechanical,1,7,0,0
22,Male,92,83,Information Technology,1,6,0,0
21,Male,89,77,Electrical,1,6,0,0
21,Male,84,81,Mechanical,1,6,0,0
22,Male,75,86,Electrical,1,6,0,0
22,Male,72,72,Mechanical,2,8,0,1
22,Male,85,93,Information Technology,1,7,0,0
22,Male,94,67,Civil,1,6,0,0
21,Male,94,74,Information Technology,1,7,1,0
21,Female,74,86,Computer Science,2,8,0,1
22,Male,74,71,Electronics And Communication,2,7,0,0
22,Male,79,82,Electronics And Communication,2,7,1,0
22,Male,84,80,Mechanical,1,8,0,1
22,Male,79,74,Computer Science,1,6,0,0
22,Male,90,67,Electronics And Communication,1,7,1,0
22,Male,75,78,Electronics And Communication,1,8,1,1
21,Female,89,86,Electrical,1,8,1,1
22,Female,79,77,Computer Science,1,7,0,0
22,Female,83,77,Information Technology,1,9,0,1
21,Male,84,70,Mechanical,2,8,0,1
21,Male,86,82,Electronics And Communication,2,7,1,1
22,Male,89,89,Civil,2,7,0,0
21,Male,90,69,Information Technology,2,9,0,1
21,Male,88,89,Civil,2,7,1,0
22,Male,82,86,Information Technology,1,9,0,1
22,Male,71,80,Computer Science,1,7,1,0
21,Female,93,71,Computer Science,2,7,0,1
21,Male,93,75,Information Technology,1,9,0,1
21,Male,84,90,Computer Science,1,8,0,1
22,Male,94,74,Mechanical,1,9,0,1
21,Male,71,68,Computer Science,2,9,0,1
21,Female,71,78,Electronics And Communication,2,9,0,1
21,Male,78,69,Electronics And Communication,1,8,0,1
22,Male,87,83,Computer Science,1,9,0,1
21,Male,82,91,Electrical,1,8,1,1
21,Male,77,71,Electronics And Communication,2,8,0,1
22,Male,95,76,Information Technology,2,8,0,1
21,Male,96,83,Mechanical,2,9,0,1
21,Male,80,71,Electrical,2,7,1,1
21,Male,70,82,Mechanical,1,9,1,1
22,Female,91,85,Electrical,2,8,0,1
21,Male,89,79,Civil,2,9,0,1
22,Male,88,89,Mechanical,1,9,0,1
21,Female,91,84,Information Technology,2,9,0,1
22,Female,81,80,Electronics And Communication,1,8,1,1
22,Male,77,86,Electronics And Communication,1,8,0,1
22,Male,89,89,Electronics And Communication,2,9,0,1
21,Male,70,85,Information Technology,1,8,0,1
22,Female,77,74,Civil,1,8,0,1
21,Female,90,82,Civil,1,7,0,0
21,Female,94,66,Electrical,1,9,0,1
22,Male,91,92,Computer Science,1,9,0,1
22,Female,71,80,Information Technology,2,8,0,1
22,Male,74,89,Civil,2,9,1,1
21,Male,96,68,Mechanical,1,7,0,0
22,Male,95,71,Information Technology,2,7,0,0
22,Male,77,90,Civil,2,8,0,1
22,Male,79,68,Computer Science,2,7,1,0
21,Male,74,80,Information Technology,1,9,0,1
22,Male,73,94,Computer Science,1,8,0,1
22,Male,84,84,Civil,1,7,0,0
21,Female,96,84,Computer Science,2,8,0,1
21,Male,73,68,Civil,2,7,0,1
22,Male,77,66,Electronics And Communication,2,8,0,1
22,Male,94,77,Mechanical,1,7,0,0
21,Male,83,66,Electrical,1,7,0,1
22,Male,79,87,Electrical,2,8,0,1
22,Male,93,92,Electrical,1,8,1,1
21,Female,90,70,Computer Science,1,8,0,1
21,Male,82,73,Mechanical,1,7,0,0
21,Male,83,66,Information Technology,1,9,0,1
22,Male,87,74,Electrical,0,9,0,1
21,Female,82,86,Information Technology,0,9,0,1
21,Male,72,81,Electronics And Communication,0,8,0,1
21,Female,96,81,Computer Science,1,9,0,1
22,Male,83,75,Information Technology,1,7,0,0
21,Male,81,66,Mechanical,1,8,1,1
21,Male,74,78,Mechanical,0,9,1,1
22,Male,73,72,Information Technology,0,7,0,0
21,Male,71,75,Information Technology,0,8,0,1
22,Male,78,69,Civil,0,8,0,1
21,Male,91,79,Mechanical,0,8,0,1
22,Female,76,75,Computer Science,0,9,1,1
22,Female,72,71,Information Technology,1,8,0,1
21,Male,76,79,Mechanical,0,7,0,0
21,Male,73,87,Electrical,0,7,0,0
22,Male,73,67,Mechanical,0,9,0,1
22,Male,89,92,Information Technology,1,7,0,0
22,Male,90,71,Mechanical,2,9,0,1
21,Male,72,84,Electrical,0,8,0,1
21,Male,83,86,Information Technology,1,8,0,1
22,Male,81,91,Information Technology,1,9,0,1
22,Female,74,79,Computer Science,0,9,0,1
21,Male,91,79,Civil,1,9,0,1
22,Female,86,87,Information Technology,2,8,0,1
21,Male,85,89,Information Technology,1,9,0,1
22,Male,79,81,Civil,0,9,1,1
21,Male,96,90,Electrical,0,8,0,1
22,Male,79,69,Computer Science,1,9,0,1
22,Male,76,79,Electrical,0,8,0,1
21,Male,89,72,Electronics And Communication,1,8,0,1
21,Male,86,88,Electrical,0,8,0,1
21,Male,74,85,Civil,0,9,1,1
21,Male,70,89,Computer Science,1,9,0,1
21,Male,73,69,Civil,0,9,0,1
21,Female,78,93,Information Technology,1,8,0,1
21,Male,86,66,Civil,1,7,0,0
21,Male,72,90,Computer Science,1,9,0,1
22,Male,92,71,Electronics And Communication,0,9,0,1
22,Male,90,90,Electronics And Communication,1,7,1,0
21,Female,77,89,Electrical,1,8,0,1
21,Male,93,66,Information Technology,1,8,0,1
22,Male,78,92,Information Technology,1,8,0,1
22,Female,76,87,Electrical,1,7,1,0
21,Male,70,85,Computer Science,1,7,0,0
22,Male,73,69,Computer Science,1,9,0,1
21,Male,78,91,Computer Science,2,9,0,1
22,Female,81,89,Computer Science,0,9,1,1
21,Male,89,73,Information Technology,0,7,0,1
22,Male,89,68,Mechanical,0,8,0,1
22,Male,91,79,Computer Science,2,8,0,1
21,Male,76,77,Electronics And Communication,0,8,0,1
21,Male,91,83,Mechanical,1,9,0,1
22,Female,74,85,Information Technology,1,9,0,1
21,Male,70,91,Mechanical,0,9,0,1
21,Male,83,91,Civil,0,9,0,1
